id,name,birth_year,death_year,country,region,period,wikidata
jorge_jinkis,Jorge Jinkis,1943.0,,Argentina,Latin America,World Wars Era,
friedrich_nietzsche,Friedrich Wilhelm Nietzsche,1844.0,1900.0,Germany,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q9358
samuel_beckett,Samuel Barclay Beckett,1906.0,1989.0,Ireland,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q37327
leo_strauss,Leo Strauss,1899.0,1973.0,Germany,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q77144
ernest_renan,Joseph Ernest Renan,1823.0,1892.0,France,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q157155
leon_bloy,Léon Henri Marie Bloy,1846.0,1917.0,France,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q462666
martin_lutero,Martín Lutero,1483.0,1546.0,Germany,Western Europe,Renaissance,http://www.wikidata.org/entity/Q9554
leopoldo_lugones,Leopoldo Antonio Lugones,1874.0,1938.0,Argentina,Latin America,Long 19th Century,http://www.wikidata.org/entity/Q188875
paul_valery,Ambroise Paul Toussaint Jules Valéry,1871.0,1945.0,France,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q200639
eduardo_gruner,Eduardo Grüner,1946.0,,Argentina,Latin America,Contemporary,http://www.wikidata.org/entity/Q56582734
maurice_blanchot,Maurice Blanchot,1907.0,2003.0,France,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q315210
kafka,Franz Kafka,1883.0,1924.0,República Checa,Other/Unknown,Long 19th Century,http://www.wikidata.org/entity/Q905
james_joyce,James Augustine Aloysius Joyce,1882.0,1941.0,Ireland,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q6882
louis_ferdinand_celine,Louis-Ferdinand Céline,1894.0,1961.0,France,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q151820
william_faulkner,William Cuthbert Faulkner,1897.0,1962.0,United States,North America,Long 19th Century,http://www.wikidata.org/entity/Q38392
borges,Jorge Luis Borges,1899.0,1986.0,Argentina,Latin America,Long 19th Century,http://www.wikidata.org/entity/Q909
simonides,de Ceos Simónides,-556.0,-468.0,Greece,Southern Europe / Classical,Antiquity (Archaic),http://www.wikidata.org/entity/Q273003
horacio,Quinto Flaco Horacio,-65.0,-8.0,Italy,Western Europe,Hellenistic/Roman,http://www.wikidata.org/entity/Q6197
ezra_pound,Ezra Weston Loomis Pound,1885.0,1972.0,United States,North America,Long 19th Century,http://www.wikidata.org/entity/Q163366
oscar_masotta,Óscar Abelardo Masotta,1930.0,1979.0,Argentina,Latin America,World Wars Era,http://www.wikidata.org/entity/Q7106131
roxana_patinio,Roxana Patiño,,,,Other/Unknown,Unknown,
luis_gusman,Luis Gusmán,1944.0,,Argentina,Latin America,World Wars Era,http://www.wikidata.org/entity/Q5679615
mallarme,Stéphane Mallarmé,1842.0,1898.0,France,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q767
andre_gide,André Paul Guillaume Gide,1869.0,1951.0,France,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q47484
jose_antonio_maravall,José Antonio Casesnoves Maravall,1911.0,1986.0,Spain,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q2357262
john_donne,John Donne,1572.0,1631.0,United Kingdom,Western Europe,Renaissance,http://www.wikidata.org/entity/Q140412
spinoza,Baruch Spinoza,1632.0,1677.0,Netherlands,Western Europe,Early Modern,http://www.wikidata.org/entity/Q35802
maquiavelo,Niccolò di Bernardo dei Machiavelli,1469.0,1527.0,Italy,Western Europe,Renaissance,http://www.wikidata.org/entity/Q1399
tucidides,Tucídides,-460.0,-400.0,Greece,Southern Europe / Classical,Classical Antiquity,http://www.wikidata.org/entity/Q41683
aristoteles,Aristóteles,-384.0,-322.0,Greece,Southern Europe / Classical,Classical Antiquity,http://www.wikidata.org/entity/Q868
platon,Platón,-428.0,-348.0,Greece,Southern Europe / Classical,Classical Antiquity,http://www.wikidata.org/entity/Q859
thomas_hobbes,Thomas Hobbes,1588.0,1679.0,United Kingdom,Western Europe,Renaissance,http://www.wikidata.org/entity/Q37621
socrates,Sócrates,-470.0,-399.0,Greece,Southern Europe / Classical,Classical Antiquity,http://www.wikidata.org/entity/Q913
william_lecky,William Edward Hartpole Lecky,1838.0,1903.0,Ireland,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q725927
parmenides,de Elea Parménides,-515.0,-450.0,Greece,Southern Europe / Classical,Antiquity (Archaic),http://www.wikidata.org/entity/Q125551
homero,Homero,-750.0,-700.0,Greece,Southern Europe / Classical,Antiquity (Archaic),http://www.wikidata.org/entity/Q6691
jean_bodin,Jean Bodin,1530.0,1596.0,France,Western Europe,Renaissance,http://www.wikidata.org/entity/Q190944
edmund_burke,Edmund Burke,1729.0,1797.0,Ireland,Western Europe,Early Modern,http://www.wikidata.org/entity/Q165792
nicolas_condorcet,Nicolas de Condorcet,1743.0,1794.0,France,Western Europe,Early Modern,http://www.wikidata.org/entity/Q201477
thomas_carlyle,Thomas Carlyle,1795.0,1881.0,United Kingdom,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q151403
averroes,Averroes,1126.0,1198.0,Spain,Western Europe,Medieval,http://www.wikidata.org/entity/Q39837
gotthold_lessing,Gotthold Ephraim Lessing,1729.0,1781.0,Germany,Western Europe,Early Modern,http://www.wikidata.org/entity/Q34628
schleiermacher,Friedrich Daniel Ernst Schleiermacher,1768.0,1834.0,Poland,Eastern Europe,Early Modern,http://www.wikidata.org/entity/Q76576
