lemma,person,a,n_person_paras,n_lemma_paras,log_odds,p,q,significant
poesia,georg_trakl,26,33,102,5.047,0.0,0.0,True
judio,leon_bloy,18,41,66,4.007,0.0,0.0,True
judio,emile_zola,16,36,66,3.99,0.0,0.0,True
judio,edouard_drumont,16,48,66,3.525,0.0,0.0,True
dinero,emile_zola,14,36,65,3.747,0.0,0.0,True
antisemitismo,edouard_drumont,10,48,17,4.824,0.0,0.0,True
literatura,borges,24,66,181,2.477,0.0,0.0,True
vacio,ruben_dario,11,26,47,4.24,0.0,0.0,True
antisemitismo,leon_bloy,9,41,17,4.77,0.0,0.0,True
ley,juan_octavio_gauna,9,9,135,6.218,0.0,0.0,True
blanco,ruben_dario,9,26,30,4.461,0.0,0.0,True
voracidad,ruben_dario,7,26,14,5.174,0.0,0.0,True
literatura,luis_gusman,12,20,181,3.351,0.0,0.0,True
antisemitismo,emile_zola,7,36,17,4.42,0.0,0.0,True
imposible,felisberto_hernandez,6,22,17,4.77,0.0,0.0,True
enunciacion,eliseo_veron,5,5,51,6.697,0.0,0.0,True
dinero,leon_bloy,10,41,65,3.011,0.0,0.0,True
exilio,juan_bautista_alberdi,5,6,56,5.495,0.0,0.0,True
modernismo,leopoldo_lugones,5,26,11,4.909,0.0,0.0,True
femenino,ruben_dario,6,26,23,4.131,0.0,0.0,True
juez,juan_octavio_gauna,4,9,12,5.808,0.0,0.0,True
apartamiento,georg_trakl,7,33,32,3.636,0.0,0.0,True
parodiar,bajtin,4,8,14,5.797,0.0,0.0,True
lengua,rabelais,8,21,83,3.339,0.0,0.0,True
poema,leopoldo_lugones,7,26,42,3.611,0.0,0.0,True
enunciacion,felisberto_hernandez,7,22,51,3.613,0.0,0.0,True
estilo,david_vinias,7,23,51,3.55,0.0,0.0,True
literario,luis_gusman,9,20,138,3.055,0.0,0.0,True
fijo,felisberto_hernandez,5,22,17,4.461,0.0,1e-06,True
sujeto,felisberto_hernandez,6,22,34,3.858,0.0,1e-06,True
exilio,david_vinias,7,23,56,3.442,0.0,1e-06,True
muerte,santiago_dabove,7,10,166,3.794,0.0,1e-06,True
politico,horacio_gonzalez,6,7,163,4.512,0.0,1e-06,True
sentido,silvina_ocampo,7,17,87,3.401,0.0,1e-06,True
tiempo,felisberto_hernandez,8,22,104,3.016,0.0,2e-06,True
divino,jesus,8,67,33,2.942,0.0,2e-06,True
ocaso,georg_trakl,6,33,28,3.582,0.0,2e-06,True
simbolo,carl_jung,4,8,27,4.988,0.0,3e-06,True
politico,eliseo_veron,5,5,163,5.438,0.0,3e-06,True
alegoer,daniel_moyano,4,12,18,4.836,0.0,3e-06,True
estilo,sarmiento,5,11,51,4.131,0.0,3e-06,True
risa,felisberto_hernandez,5,22,24,4.014,0.0,3e-06,True
lengua,samuel_beckett,6,13,83,3.634,0.0,3e-06,True
politico,raul_alfonsin,6,8,163,4.001,0.0,3e-06,True
obediencia,jorge_bacque,5,6,122,4.651,0.0,4e-06,True
muerte,philippe_aries,6,8,166,3.981,0.0,4e-06,True
territorio,borges,7,66,26,3.088,0.0,4e-06,True
sociedad,eliseo_veron,4,5,58,5.237,0.0,4e-06,True
presente,felisberto_hernandez,5,22,26,3.916,0.0,5e-06,True
historico,jose_marmol,6,18,62,3.444,0.0,5e-06,True
erotico,leopoldo_lugones,5,26,23,3.86,0.0,6e-06,True
desnudez,leopoldo_lugones,4,26,10,4.663,1e-06,6e-06,True
novela,juan_jose_saer,5,8,93,4.095,1e-06,7e-06,True
politico,alejandro_dumas,6,9,163,3.664,1e-06,8e-06,True
modernismo,ruben_dario,4,26,11,4.52,1e-06,8e-06,True
poema,borges,8,66,42,2.655,1e-06,8e-06,True
exilio,leon_rozitchner,4,6,56,4.764,1e-06,9e-06,True
parodiar,rabelais,4,21,14,4.435,1e-06,1e-05,True
salvacion,leon_bloy,5,41,17,3.72,1e-06,1e-05,True
lugar,georg_trakl,7,33,61,2.868,1e-06,1.1e-05,True
erotismo,leopoldo_lugones,4,26,12,4.394,1e-06,1.1e-05,True
poetico,georg_trakl,6,33,39,3.181,1e-06,1.1e-05,True
lengua,james_joyce,7,25,83,2.884,1e-06,1.1e-05,True
literatura,samuel_beckett,7,13,181,3.08,1e-06,1.1e-05,True
literatura,ricardo_piglia,6,9,181,3.551,1e-06,1.2e-05,True
vision,macedonio_fernandez,7,38,55,2.812,1e-06,1.3e-05,True
literario,david_vinias,8,23,138,2.637,1e-06,1.3e-05,True
argentino,david_vinias,6,23,60,3.143,2e-06,1.4e-05,True
literario,witold_gombrowicz,5,7,138,4.007,2e-06,1.5e-05,True
discurso,raul_alfonsin,5,8,114,3.876,2e-06,1.5e-05,True
investigacion,platon,3,9,11,5.39,2e-06,1.6e-05,True
olvido,felisberto_hernandez,5,22,36,3.531,2e-06,1.7e-05,True
exilio,juan_manuel_rosas,5,15,56,3.546,2e-06,1.9e-05,True
lengua,borges,10,66,83,2.133,2e-06,2e-05,True
teorico,karl_marx,3,10,11,5.246,3e-06,2.2e-05,True
ilusion,alfonsina_storni,3,5,24,5.415,3e-06,2.2e-05,True
transgresion,bajtin,3,8,14,5.254,3e-06,2.2e-05,True
ideologico,juan_bautista_alberdi,3,6,21,5.229,4e-06,2.7e-05,True
modelo,rabelais,4,21,19,4.044,4e-06,2.7e-05,True
referencia,luis_gusman,4,20,20,4.041,4e-06,2.7e-05,True
realidad,james_joyce,6,25,63,2.98,4e-06,2.7e-05,True
esencia,georg_trakl,6,33,47,2.964,4e-06,2.7e-05,True
