lemma,period,a,n_bucket_paras,n_lemma_paras,log_odds,p,q,significant
antisemitismo,Revolutionary Era,16,242,17,5.056,0.0,0.0,True
judio,Revolutionary Era,36,242,66,2.922,0.0,0.0,True
lengua,Renaissance,13,66,83,2.481,0.0,0.0,True
exilio,World Wars Era,28,312,56,2.4,0.0,0.0,True
teoria,World Wars Era,17,312,37,2.207,0.0,0.0,True
argentino,World Wars Era,26,312,60,2.127,0.0,0.0,True
poema,Long 19th Century,24,494,42,2.122,0.0,0.0,True
historia,Early Modern,17,89,124,1.997,0.0,0.0,True
discurso,World Wars Era,44,312,114,1.984,0.0,0.0,True
ficcion,World Wars Era,22,312,55,1.98,0.0,0.0,True
estilo,World Wars Era,20,312,51,1.942,0.0,0.0,True
dinero,Revolutionary Era,20,242,65,1.865,0.0,0.0,True
literario,World Wars Era,46,312,138,1.757,0.0,0.0,True
historia,Revolutionary Era,34,242,124,1.749,0.0,0.0,True
politico,World Wars Era,51,312,163,1.676,0.0,0.0,True
novela,World Wars Era,30,312,93,1.663,0.0,0.0,True
espacio,Long 19th Century,29,494,64,1.66,0.0,0.0,True
realidad,Long 19th Century,28,494,63,1.624,0.0,0.0,True
literatura,World Wars Era,53,312,181,1.583,0.0,0.0,True
poesia,Long 19th Century,43,494,102,1.555,0.0,0.0,True
escritura,Long 19th Century,56,494,135,1.549,0.0,0.0,True
literatura,Long 19th Century,68,494,181,1.401,0.0,0.0,True
literario,Long 19th Century,52,494,138,1.379,0.0,0.0,True
escritura,World Wars Era,35,312,135,1.361,0.0,0.0,True
escritura,Renaissance,15,66,135,2.106,0.0,1e-06,True
historico,Revolutionary Era,19,242,62,1.856,0.0,1e-06,True
nacional,World Wars Era,16,312,38,2.051,0.0,2e-06,True
poetico,Long 19th Century,20,494,39,1.882,0.0,2e-06,True
literario,Revolutionary Era,29,242,138,1.372,0.0,2e-06,True
critica,World Wars Era,18,312,49,1.832,0.0,3e-06,True
vacio,Long 19th Century,22,494,47,1.709,0.0,3e-06,True
literatura,Early Modern,19,89,181,1.703,0.0,3e-06,True
romanticismo,Revolutionary Era,9,242,15,3.006,0.0,4e-06,True
interes,World Wars Era,12,312,23,2.434,0.0,4e-06,True
filosofia,Early Modern,9,89,36,2.669,0.0,6e-06,True
cultura,Early Modern,11,89,59,2.311,0.0,6e-06,True
identidad,Long 19th Century,20,494,42,1.738,0.0,6e-06,True
historia,World Wars Era,30,312,124,1.255,0.0,7e-06,True
nacional,Early Modern,9,89,38,2.598,0.0,9e-06,True
erotico,Long 19th Century,14,494,23,2.246,0.0,9e-06,True
lengua,Long 19th Century,30,494,83,1.28,0.0,1.1e-05,True
ideologico,World Wars Era,11,312,21,2.439,0.0,1.2e-05,True
sistema,World Wars Era,17,312,49,1.742,0.0,1.3e-05,True
lengua,World Wars Era,23,312,83,1.427,0.0,1.3e-05,True
literatura,Revolutionary Era,32,242,181,1.159,0.0,1.3e-05,True
lectura,Long 19th Century,29,494,80,1.283,1e-06,1.5e-05,True
