lemma,region,a,n_bucket_paras,n_lemma_paras,log_odds,p,q,significant
antisemitismo,Western Europe,15,506,17,3.623,0.0,0.0,True
literario,Eastern Europe,14,53,138,2.275,0.0,0.0,True
judio,Western Europe,38,506,66,2.138,0.0,0.0,True
poema,Latin America,22,488,42,1.944,0.0,0.0,True
exilio,Latin America,28,488,56,1.861,0.0,0.0,True
ficcion,Latin America,26,488,55,1.749,0.0,0.0,True
argentino,Latin America,27,488,60,1.66,0.0,0.0,True
literatura,Latin America,77,488,181,1.648,0.0,0.0,True
discurso,Latin America,48,488,114,1.577,0.0,0.0,True
poesia,Western Europe,44,506,102,1.567,0.0,0.0,True
lengua,Western Europe,36,506,83,1.563,0.0,0.0,True
literario,Latin America,57,488,138,1.559,0.0,0.0,True
novela,Latin America,36,488,93,1.414,0.0,0.0,True
historia,Western Europe,48,506,124,1.387,0.0,0.0,True
politico,Latin America,60,488,163,1.37,0.0,0.0,True
escritura,Western Europe,51,506,135,1.351,0.0,0.0,True
escritura,Latin America,49,488,135,1.33,0.0,0.0,True
literatura,Western Europe,61,506,181,1.183,0.0,0.0,True
literario,Western Europe,47,506,138,1.18,0.0,0.0,True
literatura,North America,15,51,181,2.118,0.0,1e-06,True
nacional,Latin America,20,488,38,1.95,0.0,1e-06,True
estilo,Latin America,24,488,51,1.737,0.0,1e-06,True
persecucion,Southern Europe / Classical,6,35,23,3.764,0.0,3e-06,True
enunciacion,Latin America,23,488,51,1.657,0.0,3e-06,True
antisemitismo,Eastern Europe,6,53,17,3.704,0.0,5e-06,True
lectura,Latin America,30,488,80,1.353,0.0,5e-06,True
politica,Latin America,19,488,40,1.746,0.0,1.5e-05,True
realidad,Latin America,25,488,63,1.439,0.0,1.5e-05,True
vacio,Other/Unknown,14,213,47,1.947,0.0,1.6e-05,True
narrador,Latin America,18,488,38,1.739,1e-06,2.9e-05,True
representacion,Western Europe,14,506,24,2.116,1e-06,3e-05,True
relato,Latin America,30,488,87,1.221,1e-06,3.3e-05,True
historia,Eastern Europe,11,53,124,2.066,2e-06,5.9e-05,True
filosofia,Western Europe,17,506,36,1.688,3e-06,9.3e-05,True
frances,Western Europe,12,506,20,2.176,3e-06,0.000107,True
sujeto,Latin America,16,488,34,1.724,3e-06,0.000107,True
lenguaje,Western Europe,31,506,93,1.126,3e-06,0.000107,True
novela,Western Europe,31,506,93,1.126,3e-06,0.000107,True
teoria,Western Europe,17,506,37,1.638,4e-06,0.00013,True
identidad,Latin America,18,488,42,1.56,4e-06,0.000132,True
sentido,Latin America,29,488,87,1.168,5e-06,0.000134,True
iron,Western Europe,14,506,27,1.864,5e-06,0.000147,True
procedimiento,Latin America,16,488,35,1.671,6e-06,0.000153,True
blanco,Other/Unknown,10,213,30,2.1,6e-06,0.000165,True
retorico,Latin America,17,488,39,1.588,6e-06,0.000165,True
codigo,Latin America,18,488,43,1.519,7e-06,0.000172,True
voracidad,Other/Unknown,7,213,14,2.758,7e-06,0.000176,True
sociedad,Western Europe,22,506,58,1.317,8e-06,0.000205,True
estetica,Latin America,14,488,29,1.769,1e-05,0.000239,True
teoria,North America,6,51,37,2.734,1.2e-05,0.000282,True
estilo,Western Europe,20,506,51,1.369,1.2e-05,0.000282,True
clasico,Western Europe,11,506,19,2.091,1.4e-05,0.000315,True
sistema,Latin America,19,488,49,1.393,1.4e-05,0.000315,True
ensayo,Western Europe,14,506,29,1.725,1.5e-05,0.000334,True
teorico,Latin America,8,488,11,2.714,1.6e-05,0.000339,True
interes,Latin America,12,488,23,1.916,1.6e-05,0.000339,True
exilio,Western Europe,21,506,56,1.298,1.6e-05,0.000341,True
estetico,Latin America,11,488,20,2.022,1.9e-05,0.000382,True
discurso,Western Europe,34,506,114,0.964,1.9e-05,0.000382,True
dinero,Western Europe,23,506,65,1.209,2e-05,0.000391,True
medieval,Western Europe,8,506,11,2.671,2.1e-05,0.000401,True
edad,Other/Unknown,10,213,34,1.92,2.2e-05,0.000401,True
ciencia,Western Europe,16,506,37,1.529,2.1e-05,0.000401,True
metafora,Latin America,17,488,42,1.462,2.1e-05,0.000401,True
literario,Other/Unknown,22,213,138,1.155,2.3e-05,0.000417,True
estructura,Eastern Europe,5,53,25,2.935,2.9e-05,0.000493,True
linguistico,Western Europe,9,506,14,2.332,2.8e-05,0.000493,True
realidad,North America,7,51,63,2.308,2.8e-05,0.000493,True
historia,Latin America,35,488,124,0.931,2.9e-05,0.000493,True
orden,Western Europe,6,506,151,-1.378,2.8e-05,0.000493,True
retorico,Southern Europe / Classical,5,35,39,2.88,3.5e-05,0.000571,True
textual,Latin America,13,488,28,1.695,3.5e-05,0.000571,True
lectura,Western Europe,26,506,80,1.082,3.5e-05,0.000571,True
realidad,Western Europe,22,506,63,1.187,3.8e-05,0.000609,True
singularidad,Latin America,8,488,12,2.462,4.2e-05,0.000659,True
discurso,Eastern Europe,9,53,114,1.904,4.2e-05,0.000659,True
parodiar,Eastern Europe,4,53,14,3.386,4.3e-05,0.000664,True
real,Latin America,12,488,25,1.755,4.7e-05,0.000708,True
poetico,Western Europe,16,506,39,1.44,4.7e-05,0.000708,True
escritura,Other/Unknown,21,213,135,1.122,5.2e-05,0.000767,True
critica,Latin America,18,488,49,1.306,5.6e-05,0.000808,True
historico,Latin America,21,488,62,1.184,5.5e-05,0.000808,True
