lemma,issue,a,n_issue_paras,n_lemma_paras,log_odds,p,q,significant
debido,issue_6,54,458,54,6.701,0.0,0.0,True
penal,issue_6,46,458,46,6.523,0.0,0.0,True
subordinado,issue_6,41,458,41,6.397,0.0,0.0,True
eximente,issue_6,35,458,35,6.227,0.0,0.0,True
delito,issue_6,67,458,68,5.849,0.0,0.0,True
constitucional,issue_6,24,458,24,5.83,0.0,0.0,True
ilicito,issue_6,21,458,21,5.693,0.0,0.0,True
judio,issue_1,66,1188,66,5.603,0.0,0.0,True
extraordinario,issue_6,19,458,19,5.59,0.0,0.0,True
judicial,issue_6,16,458,16,5.417,0.0,0.0,True
cumplimiento,issue_6,15,458,15,5.352,0.0,0.0,True
inconstitucionalidad,issue_6,15,458,15,5.352,0.0,0.0,True
sendero,issue_3,21,680,21,5.206,0.0,0.0,True
juez,issue_6,12,458,12,5.13,0.0,0.0,True
mando,issue_6,12,458,12,5.13,0.0,0.0,True
ilicitud,issue_6,11,458,11,5.044,0.0,0.0,True
jurisprudencia,issue_6,11,458,11,5.044,0.0,0.0,True
presuncion,issue_6,11,458,11,5.044,0.0,0.0,True
atardecer,issue_3,17,680,17,4.994,0.0,0.0,True
deber,issue_6,30,458,31,4.964,0.0,0.0,True
coaccion,issue_6,10,458,10,4.951,0.0,0.0,True
ilegitimo,issue_6,10,458,10,4.951,0.0,0.0,True
obediencia,issue_6,115,458,122,4.905,0.0,0.0,True
peregrinar,issue_3,14,680,14,4.801,0.0,0.0,True
venado,issue_3,14,680,14,4.801,0.0,0.0,True
erotismo,issue_4-5,12,668,12,4.672,0.0,0.0,True
maniqui,issue_4-5,11,668,11,4.587,0.0,0.0,True
aurora,issue_3,33,680,34,4.569,0.0,0.0,True
apartamiento,issue_3,31,680,32,4.504,0.0,0.0,True
amnistir,issue_6,18,458,19,4.437,0.0,0.0,True
mandato,issue_6,27,458,29,4.342,0.0,0.0,True
juridico,issue_6,35,458,38,4.28,0.0,0.0,True
antisemitismo,issue_1,17,1188,17,4.225,0.0,0.0,True
militar,issue_6,81,458,90,4.225,0.0,0.0,True
tribunal,issue_6,22,458,24,4.13,0.0,0.0,True
desobediencia,issue_6,13,458,14,4.11,0.0,0.0,True
atroz,issue_6,21,458,23,4.083,0.0,0.0,True
ilegal,issue_6,11,458,12,3.945,0.0,0.0,True
superior,issue_6,45,458,51,3.932,0.0,0.0,True
agravio,issue_6,10,458,11,3.852,0.0,0.0,True
civil,issue_6,22,458,25,3.793,0.0,0.0,True
sentencia,issue_6,20,458,23,3.696,0.0,0.0,True
legitimidad,issue_6,14,458,16,3.673,0.0,0.0,True
culpabilidad,issue_6,17,458,20,3.531,0.0,0.0,True
azul,issue_3,40,680,45,3.469,0.0,0.0,True
ocaso,issue_3,25,680,28,3.436,0.0,0.0,True
derecho,issue_6,63,458,80,3.316,0.0,0.0,True
responsabilidad,issue_6,59,458,75,3.3,0.0,0.0,True
recurso,issue_6,29,458,37,3.192,0.0,0.0,True
orden,issue_6,110,458,151,3.125,0.0,0.0,True
ciego,issue_6,14,458,18,3.084,0.0,0.0,True
ley,issue_6,98,458,135,3.078,0.0,0.0,True
aplicacion,issue_6,13,458,17,3.011,0.0,0.0,True
principio,issue_6,25,458,34,2.925,0.0,0.0,True
exilio,issue_3,45,680,56,2.853,0.0,0.0,True
divino,issue_1,30,1188,33,2.844,0.0,0.0,True
represion,issue_6,13,458,18,2.81,0.0,0.0,True
ano,issue_3,16,680,20,2.735,0.0,0.0,True
servicio,issue_6,17,458,25,2.642,0.0,0.0,True
tortura,issue_6,24,458,36,2.607,0.0,0.0,True
poesia,issue_3,75,680,102,2.53,0.0,0.0,True
extranjero,issue_3,45,680,63,2.375,0.0,0.0,True
ensayo,issue_4-5,20,668,29,2.232,0.0,0.0,True
autoridad,issue_6,19,458,33,2.218,0.0,0.0,True
hecho,issue_6,25,458,45,2.152,0.0,0.0,True
