lemma,n_lemma_paras,prop_issue_1,prop_issue_2,prop_issue_3,prop_issue_4_5,prop_issue_6,direction,ca_stat,p,q_trend
obediencia,122,0.0025,0.0,0.0044,0.0015,0.2511,rising,17.193,0.0,0.0
ley,135,0.0093,0.0104,0.0074,0.024,0.214,rising,14.236,0.0,0.0
orden,151,0.0135,0.0124,0.0206,0.0075,0.2402,rising,13.946,0.0,0.0
militar,90,0.0025,0.0021,0.0074,0.0,0.1769,rising,13.886,0.0,0.0
delito,68,0.0008,0.0,0.0,0.0,0.1463,rising,13.292,0.0,0.0
debido,54,0.0,0.0,0.0,0.0,0.1179,rising,12.122,0.0,0.0
penal,46,0.0,0.0,0.0,0.0,0.1004,rising,11.175,0.0,0.0
responsabilidad,75,0.0051,0.0021,0.0088,0.0045,0.1288,rising,10.939,0.0,0.0
subordinado,41,0.0,0.0,0.0,0.0,0.0895,rising,10.542,0.0,0.0
derecho,80,0.0084,0.0062,0.0044,0.0015,0.1376,rising,10.43,0.0,0.0
eximente,35,0.0,0.0,0.0,0.0,0.0764,rising,9.732,0.0,0.0
superior,51,0.0051,0.0,0.0,0.0,0.0983,rising,9.434,0.0,0.0
deber,31,0.0,0.0,0.0015,0.0,0.0655,rising,8.904,0.0,0.0
juridico,38,0.0017,0.0021,0.0,0.0,0.0764,rising,8.904,0.0,0.0
mandato,29,0.0,0.0021,0.0,0.0015,0.059,rising,8.335,0.0,0.0
politico,163,0.0253,0.0062,0.0706,0.0225,0.1463,rising,8.087,0.0,0.0
constitucional,24,0.0,0.0,0.0,0.0,0.0524,rising,8.046,0.0,0.0
ilicito,21,0.0,0.0,0.0,0.0,0.0459,rising,7.523,0.0,0.0
civil,25,0.0,0.0,0.0029,0.0015,0.048,rising,7.519,0.0,0.0
tribunal,24,0.0008,0.0,0.0,0.0015,0.048,rising,7.338,0.0,0.0
extraordinario,19,0.0,0.0,0.0,0.0,0.0415,rising,7.154,0.0,0.0
atroz,23,0.0008,0.0,0.0,0.0015,0.0459,rising,7.152,0.0,0.0
sentencia,23,0.0008,0.0,0.0,0.003,0.0437,rising,7.007,0.0,0.0
recurso,37,0.0034,0.0062,0.0015,0.0,0.0633,rising,6.923,0.0,0.0
judicial,16,0.0,0.0,0.0,0.0,0.0349,rising,6.562,0.0,0.0
amnistir,19,0.0008,0.0,0.0,0.0,0.0393,rising,6.517,0.0,0.0
cumplimiento,15,0.0,0.0,0.0,0.0,0.0328,rising,6.353,0.0,0.0
inconstitucionalidad,15,0.0,0.0,0.0,0.0,0.0328,rising,6.353,0.0,0.0
principio,34,0.0051,0.0,0.0015,0.003,0.0546,rising,6.253,0.0,0.0
discurso,114,0.0143,0.0104,0.0471,0.0419,0.0699,rising,6.243,0.0,0.0
culpabilidad,20,0.0008,0.0021,0.0,0.0015,0.0371,rising,6.1,0.0,0.0
acto,42,0.0025,0.0083,0.0088,0.012,0.0459,rising,5.948,0.0,0.0
tortura,36,0.0025,0.0083,0.0074,0.0,0.0524,rising,5.932,0.0,0.0
juez,12,0.0,0.0,0.0,0.0,0.0262,rising,5.68,0.0,0.0
mando,12,0.0,0.0,0.0,0.0,0.0262,rising,5.68,0.0,0.0
aplicacion,17,0.0008,0.0,0.0,0.0045,0.0284,rising,5.588,0.0,0.0
argentino,60,0.0,0.0062,0.0441,0.0165,0.0349,rising,5.583,0.0,0.0
dinero,65,0.0429,0.0062,0.0132,0.003,0.0,falling,-6.856,0.0,0.0
judio,66,0.0556,0.0,0.0,0.0,0.0,falling,-9.266,0.0,0.0
ilicitud,11,0.0,0.0,0.0,0.0,0.024,rising,5.437,0.0,1e-06
jurisprudencia,11,0.0,0.0,0.0,0.0,0.024,rising,5.437,0.0,1e-06
presuncion,11,0.0,0.0,0.0,0.0,0.024,rising,5.437,0.0,1e-06
desobediencia,14,0.0008,0.0,0.0,0.0,0.0284,rising,5.395,0.0,1e-06
organizacion,14,0.0,0.0,0.0015,0.003,0.024,rising,5.395,0.0,1e-06
guerra,93,0.0067,0.0332,0.0456,0.006,0.0742,rising,5.386,0.0,1e-06
divino,33,0.0253,0.0,0.0015,0.0,0.0044,falling,-5.311,0.0,2e-06
autoridad,33,0.0042,0.0021,0.0059,0.006,0.0415,rising,5.213,0.0,3e-06
coaccion,10,0.0,0.0,0.0,0.0,0.0218,rising,5.183,0.0,3e-06
ilegitimo,10,0.0,0.0,0.0,0.0,0.0218,rising,5.183,0.0,3e-06
legitimidad,16,0.0017,0.0,0.0,0.0,0.0306,rising,5.176,0.0,3e-06
hecho,45,0.0084,0.0041,0.0059,0.006,0.0546,rising,5.032,0.0,7e-06
servicio,25,0.0034,0.0,0.0044,0.0015,0.0371,rising,5.02,1e-06,7e-06
justificacion,11,0.0,0.0,0.0,0.003,0.0197,rising,5.019,1e-06,7e-06
ciego,18,0.0017,0.0021,0.0,0.0015,0.0306,rising,5.001,1e-06,7e-06
aberrant,10,0.0,0.0,0.0,0.0015,0.0197,rising,4.964,1e-06,8e-06
revision,10,0.0,0.0,0.0,0.0015,0.0197,rising,4.964,1e-06,8e-06
traduccion,66,0.0219,0.0664,0.0088,0.003,0.0,falling,-4.969,1e-06,8e-06
oficial,21,0.0017,0.0,0.0044,0.0045,0.0284,rising,4.95,1e-06,9e-06
ilegal,12,0.0008,0.0,0.0,0.0,0.024,rising,4.88,1e-06,1.3e-05
caracter,42,0.0059,0.0062,0.0059,0.0135,0.0415,rising,4.874,1e-06,1.3e-05
agravio,11,0.0,0.0021,0.0,0.0,0.0218,rising,4.81,2e-06,1.7e-05
instancia,13,0.0,0.0,0.0015,0.006,0.0175,rising,4.759,2e-06,2.2e-05
articulo,10,0.0,0.0,0.0,0.003,0.0175,rising,4.745,2e-06,2.3e-05
jefe,12,0.0008,0.0,0.0,0.0015,0.0218,rising,4.68,3e-06,3.1e-05
antisemitismo,17,0.0143,0.0,0.0,0.0,0.0,falling,-4.669,3e-06,3.3e-05
general,21,0.0017,0.0,0.0074,0.0015,0.0284,rising,4.647,3e-06,3.6e-05
error,36,0.0059,0.0,0.0074,0.012,0.0349,rising,4.541,6e-06,5.8e-05
revolucionario,10,0.0,0.0,0.0015,0.0015,0.0175,rising,4.526,6e-06,6.2e-05
represion,18,0.0017,0.0041,0.0,0.0015,0.0284,rising,4.51,6e-06,6.6e-05
impunidad,12,0.0008,0.0,0.0015,0.0,0.0218,rising,4.48,7e-06,7.5e-05
poder,14,0.0017,0.0,0.0,0.0015,0.024,rising,4.469,8e-06,7.7e-05
anormal,15,0.0126,0.0,0.0,0.0,0.0,falling,-4.385,1.2e-05,0.000113
edad,34,0.0194,0.0083,0.0088,0.0015,0.0,falling,-4.355,1.3e-05,0.000128
criminal,10,0.0008,0.0,0.0,0.0,0.0197,rising,4.307,1.7e-05,0.000157
causa,22,0.0017,0.0,0.0088,0.0045,0.024,rising,4.299,1.7e-05,0.00016
institucion,14,0.0008,0.0021,0.0015,0.0015,0.0218,rising,4.284,1.8e-05,0.000169
disposicion,20,0.0008,0.0062,0.0044,0.0015,0.0262,rising,4.239,2.2e-05,0.000205
discursivo,11,0.0,0.0,0.0029,0.003,0.0153,rising,4.184,2.9e-05,0.000256
cristiano,38,0.0244,0.0021,0.0044,0.003,0.0066,falling,-4.182,2.9e-05,0.000256
pobre,17,0.0135,0.0,0.0,0.0015,0.0,falling,-4.165,3.1e-05,0.000269
salvacion,17,0.0126,0.0021,0.0015,0.0,0.0,falling,-4.165,3.1e-05,0.000269
rebelion,16,0.0025,0.0,0.0015,0.0,0.0262,rising,4.136,3.5e-05,0.000301
persecucion,23,0.016,0.0,0.0044,0.0015,0.0,falling,-4.134,3.6e-05,0.000301
proceso,19,0.0017,0.0021,0.0029,0.006,0.0218,rising,4.131,3.6e-05,0.000302
accion,43,0.0093,0.0021,0.0074,0.009,0.0437,rising,4.114,3.9e-05,0.000321
arbitrariedad,15,0.0025,0.0,0.0,0.0015,0.024,rising,4.026,5.7e-05,0.000462
defensa,22,0.0017,0.0062,0.0044,0.003,0.0262,rising,4.003,6.2e-05,0.000504
verbo,24,0.0152,0.0041,0.0044,0.0015,0.0,falling,-3.995,6.5e-05,0.000509
fijo,17,0.0126,0.0021,0.0,0.0015,0.0,falling,-3.997,6.4e-05,0.000509
tiempo,104,0.0404,0.0394,0.0294,0.0225,0.0044,falling,-3.986,6.7e-05,0.000524
