seed_set,pair_class,n_pairs,median,cliffs_delta_vs_AD
baseline (BLANCHOT_SEEDS),A↔A,50000,0.35230013728141785,0.1995298484
baseline (BLANCHOT_SEEDS),A↔B,50000,0.3574983477592468,0.2426509976
baseline (BLANCHOT_SEEDS),A↔C,50000,0.3713153302669525,0.331635818
baseline (BLANCHOT_SEEDS),A↔D,50000,0.3257487416267395,0.0
baseline (BLANCHOT_SEEDS),A↔B (no Blanchot),50000,0.3583461046218872,0.2444301992
baseline (BLANCHOT_SEEDS),A↔D (no Blanchot),50000,0.32513007521629333,-0.0052743892
core — discovered only,A↔A,50000,0.34661468863487244,0.055310554
core — discovered only,A↔B,50000,0.35060590505599976,0.0847080928
core — discovered only,A↔C,50000,0.3674538731575012,0.2108098328
core — discovered only,A↔D,50000,0.3400494456291199,0.0
core — discovered only,A↔B (no Blanchot),50000,0.3495512306690216,0.0780733084
core — discovered only,A↔D (no Blanchot),50000,0.33956146240234375,-0.00217634
