direction,row_a,row_b,issue_a,issue_b,contrib_a,contrib_b,e_cos,c_jaccard,shared_lemmas,h_shared
E_high_surface_zero,3178,3370,issue_6,issue_6,,jorge_bacque,0.7657,0.0,0,0
E_high_surface_zero,3126,3385,issue_6,issue_6,juan_octavio_gauna,jorge_bacque,0.7264,0.0,0,0
E_high_surface_zero,390,719,issue_1,issue_1,ramon_alcalde,leon_bloy,0.7115,0.0,0,0
E_high_surface_zero,1821,1837,issue_3,issue_3,nestor_perlongher,jorge_jinkis,0.7004,0.0,0,0
E_high_surface_zero,3088,3286,issue_6,issue_6,ramon_alcalde,jorge_bacque,0.695,0.0,0,0
E_high_surface_zero,1156,1586,issue_1,issue_2,leonora_carrington,leonora_carrington,0.6933,0.0,0,0
E_high_surface_zero,3162,3245,issue_6,issue_6,juan_octavio_gauna,jorge_bacque,0.693,0.0,0,0
E_high_surface_zero,3162,3394,issue_6,issue_6,juan_octavio_gauna,jorge_bacque,0.6902,0.0,0,0
E_high_surface_zero,3117,3245,issue_6,issue_6,juan_octavio_gauna,jorge_bacque,0.6897,0.0,0,0
E_high_surface_zero,1161,1635,issue_1,issue_2,leonora_carrington,,0.6867,0.0,0,0
E_high_surface_zero,3154,3257,issue_6,issue_6,juan_octavio_gauna,jorge_bacque,0.6866,0.0,0,0
E_high_surface_zero,3155,3257,issue_6,issue_6,juan_octavio_gauna,jorge_bacque,0.6839,0.0,0,0
E_high_surface_zero,1154,1588,issue_1,issue_2,leonora_carrington,leonora_carrington,0.6825,0.0,0,0
E_high_surface_zero,3128,3281,issue_6,issue_6,juan_octavio_gauna,jorge_bacque,0.6819,0.0,0,0
E_high_surface_zero,3087,3373,issue_6,issue_6,ramon_alcalde,jorge_bacque,0.6814,0.0,0,0
E_high_surface_zero,1145,1649,issue_1,issue_2,leonora_carrington,,0.6808,0.0,0,0
E_high_surface_zero,1153,1605,issue_1,issue_2,leonora_carrington,leonora_carrington,0.6804,0.0,0,0
E_high_surface_zero,3087,3117,issue_6,issue_6,ramon_alcalde,juan_octavio_gauna,0.6779,0.0,0,0
E_high_surface_zero,3153,3245,issue_6,issue_6,juan_octavio_gauna,jorge_bacque,0.6777,0.0,0,0
E_high_surface_zero,3083,3394,issue_6,issue_6,ramon_alcalde,jorge_bacque,0.6774,0.0,0,0
E_high_surface_zero,3122,3373,issue_6,issue_6,juan_octavio_gauna,jorge_bacque,0.6742,0.0,0,0
E_high_surface_zero,3083,3245,issue_6,issue_6,ramon_alcalde,jorge_bacque,0.6733,0.0,0,0
E_high_surface_zero,3154,3245,issue_6,issue_6,juan_octavio_gauna,jorge_bacque,0.6707,0.0,0,0
E_high_surface_zero,1161,1643,issue_1,issue_2,leonora_carrington,,0.6694,0.0,0,0
E_high_surface_zero,3117,3371,issue_6,issue_6,juan_octavio_gauna,jorge_bacque,0.6694,0.0,0,0
E_high_surface_zero,1156,1596,issue_1,issue_2,leonora_carrington,leonora_carrington,0.6682,0.0,0,0
E_high_surface_zero,3159,3257,issue_6,issue_6,juan_octavio_gauna,jorge_bacque,0.668,0.0,0,0
E_high_surface_zero,3150,3370,issue_6,issue_6,juan_octavio_gauna,jorge_bacque,0.6675,0.0,0,0
E_high_surface_zero,3075,3387,issue_6,issue_6,ramon_alcalde,jorge_bacque,0.6669,0.0,0,0
E_high_surface_zero,3131,3383,issue_6,issue_6,juan_octavio_gauna,jorge_bacque,0.6664,0.0,0,0
E_high_surface_zero,1156,1646,issue_1,issue_2,leonora_carrington,,0.6655,0.0,0,0
E_high_surface_zero,3126,3293,issue_6,issue_6,juan_octavio_gauna,jorge_bacque,0.6654,0.0,0,0
E_high_surface_zero,3068,3387,issue_6,issue_6,ramon_alcalde,jorge_bacque,0.6653,0.0,0,0
E_high_surface_zero,1156,1593,issue_1,issue_2,leonora_carrington,leonora_carrington,0.6645,0.0,0,0
E_high_surface_zero,3088,3315,issue_6,issue_6,ramon_alcalde,jorge_bacque,0.6634,0.0,0,0
E_high_surface_zero,3121,3387,issue_6,issue_6,juan_octavio_gauna,jorge_bacque,0.6613,0.0,0,0
E_high_surface_zero,1135,1583,issue_1,issue_2,leonora_carrington,leonora_carrington,0.6607,0.0,0,0
E_high_surface_zero,1164,1586,issue_1,issue_2,leonora_carrington,leonora_carrington,0.6601,0.0,0,0
E_high_surface_zero,3065,3387,issue_6,issue_6,ramon_alcalde,jorge_bacque,0.6583,0.0,0,0
E_high_surface_zero,3117,3394,issue_6,issue_6,juan_octavio_gauna,jorge_bacque,0.6578,0.0,0,0
E_high_surface_zero,3126,3320,issue_6,issue_6,juan_octavio_gauna,jorge_bacque,0.6572,0.0,0,0
E_high_surface_zero,3125,3390,issue_6,issue_6,juan_octavio_gauna,jorge_bacque,0.6563,0.0,0,0
E_high_surface_zero,3126,3376,issue_6,issue_6,juan_octavio_gauna,jorge_bacque,0.6562,0.0,0,0
E_high_surface_zero,3126,3368,issue_6,issue_6,juan_octavio_gauna,jorge_bacque,0.6546,0.0,0,0
E_high_surface_zero,3065,3126,issue_6,issue_6,ramon_alcalde,juan_octavio_gauna,0.6546,0.0,0,0
E_high_surface_zero,3137,3390,issue_6,issue_6,juan_octavio_gauna,jorge_bacque,0.6546,0.0,0,0
E_high_surface_zero,1164,1596,issue_1,issue_2,leonora_carrington,leonora_carrington,0.6544,0.0,0,0
E_high_surface_zero,3125,3371,issue_6,issue_6,juan_octavio_gauna,jorge_bacque,0.6542,0.0,0,0
E_high_surface_zero,3076,3245,issue_6,issue_6,ramon_alcalde,jorge_bacque,0.6538,0.0,0,0
