row,issue,div_id,neigh_jaccard
4,issue_1,,0.0
6,issue_1,Jinkis_Entredichos_1,0.0
8,issue_1,Jinkis_Entredichos_1,0.0
10,issue_1,Jinkis_Entredichos_1,0.0
12,issue_1,Jinkis_Entredichos_1,0.0
13,issue_1,Jinkis_Entredichos_1,0.0
18,issue_1,Jinkis_Entredichos_1,0.0
19,issue_1,Jinkis_Entredichos_1,0.0
21,issue_1,Jinkis_Entredichos_1,0.0
26,issue_1,Grüner_Entredichos_1,0.0
27,issue_1,Grüner_Entredichos_1,0.0
31,issue_1,Grüner_Entredichos_1,0.0
32,issue_1,Grüner_Entredichos_1,0.0
33,issue_1,Grüner_Entredichos_1,0.0
35,issue_1,Grüner_Entredichos_1,0.0
36,issue_1,Grüner_Entredichos_1,0.0
38,issue_1,Gusmán_Entredichos_1,0.0
39,issue_1,Gusmán_Entredichos_1,0.0
44,issue_1,Gusmán_Entredichos_1,0.0
45,issue_1,Gusmán_Entredichos_1,0.0
48,issue_1,Gusmán_Entredichos_1,0.0
49,issue_1,Gusmán_Entredichos_1,0.0
50,issue_1,Gusmán_Entredichos_1,0.0
52,issue_1,Gusmán_Entredichos_1,0.0
53,issue_1,,0.0
59,issue_1,,0.0
61,issue_1,,0.0
65,issue_1,,0.0
68,issue_1,,0.0
69,issue_1,,0.0
71,issue_1,,0.0
72,issue_1,,0.0
74,issue_1,,0.0
76,issue_1,,0.0
78,issue_1,,0.0
80,issue_1,,0.0
81,issue_1,,0.0
83,issue_1,,0.0
84,issue_1,,0.0
85,issue_1,,0.0
87,issue_1,,0.0
90,issue_1,,0.0
91,issue_1,,0.0
93,issue_1,,0.0
94,issue_1,,0.0
95,issue_1,,0.0
96,issue_1,,0.0
97,issue_1,,0.0
99,issue_1,,0.0
101,issue_1,,0.0
106,issue_1,,0.0
107,issue_1,,0.0
108,issue_1,,0.0
109,issue_1,,0.0
110,issue_1,,0.0
111,issue_1,,0.0
112,issue_1,,0.0
113,issue_1,,0.0
115,issue_1,,0.0
116,issue_1,,0.0
117,issue_1,,0.0
118,issue_1,,0.0
120,issue_1,,0.0
121,issue_1,,0.0
122,issue_1,,0.0
124,issue_1,,0.0
125,issue_1,,0.0
126,issue_1,,0.0
127,issue_1,,0.0
128,issue_1,,0.0
129,issue_1,,0.0
132,issue_1,,0.0
134,issue_1,,0.0
135,issue_1,,0.0
137,issue_1,,0.0
139,issue_1,,0.0
140,issue_1,,0.0
142,issue_1,,0.0
143,issue_1,,0.0
144,issue_1,,0.0
145,issue_1,,0.0
146,issue_1,,0.0
147,issue_1,,0.0
149,issue_1,,0.0
150,issue_1,,0.0
151,issue_1,,0.0
152,issue_1,,0.0
153,issue_1,,0.0
154,issue_1,,0.0
155,issue_1,,0.0
156,issue_1,,0.0
