test,variant,delta,strat_delta,n_B,n_A,dispersion,dominant_issue,matched_vocab,matched_authors
loo,full,0.429,0.426,110,,,,,
loo,minus_kafka,0.433,0.436,98,,,,,
loo,minus_james_joyce,0.433,0.436,98,,,,,
loo,minus_samuel_beckett,0.422,0.421,104,,,,,
loo,minus_louis_ferdinand_celine,0.425,0.432,108,,,,,
loo,minus_william_faulkner,0.427,0.43,109,,,,,
loo,minus_borges,0.45,0.439,57,,,,,
loo,minus_witold_gombrowicz,0.43,0.429,107,,,,,
loo,only_kafka,0.433,0.429,19,,,,,
loo,only_james_joyce,0.417,0.411,25,,,,,
loo,only_samuel_beckett,0.466,0.472,13,,,,,
loo,only_louis_ferdinand_celine,0.465,0.47,9,,,,,
loo,only_william_faulkner,0.464,0.449,4,,,,,
loo,only_borges,0.418,0.423,66,,,,,
loo,only_witold_gombrowicz,0.462,0.474,7,,,,,
dossier,blanchot(lemmas),0.399,,110,517.0,0.325,issue_1,ausencia|ausente|errancia|errar|escritura|espacio|imposible|lectura|muerte|olvido|silencio|soledad,kafka|james_joyce|samuel_beckett|louis_ferdinand_celine|william_faulkner|borges|witold_gombrowicz
dossier,antisemitism,0.557,,82,158.0,0.892,issue_1,judio|antisemitismo|dinero|divino,edouard_drumont|leon_bloy|emile_zola
dossier,juridical,0.829,,12,376.0,0.758,issue_6,obediencia|ley|orden|militar|delito|debido,juan_octavio_gauna|jorge_bacque
