pid_a,pid_b,shared_gold,e_cos,copen_jac,cclosed_jac
Jinkis_Entredichos_1_p1,Jinkis_Entredichos_1_p2,1,0.4276,0.0952,0.4444
Jinkis_Entredichos_1_p1,Jinkis_Entredichos_1_p3,0,0.4484,0.0,0.3
Jinkis_Entredichos_1_p1,Jinkis_Entredichos_1_p4,1,0.3711,0.037,0.2
Jinkis_Entredichos_1_p1,Jinkis_Entredichos_1_p5,0,0.4496,0.0,0.4545
Jinkis_Entredichos_1_p1,Jinkis_Entredichos_1_p6,0,0.3595,0.0,0.0833
Jinkis_Entredichos_1_p1,Jinkis_Entredichos_1_p7,0,0.3185,0.0476,0.1538
Jinkis_Entredichos_1_p1,Jinkis_Entredichos_1_p8,0,0.2846,0.0,0.0909
Jinkis_Entredichos_1_p1,Jinkis_Entredichos_1_p9,0,0.391,0.0,0.1333
Jinkis_Entredichos_1_p1,Jinkis_Entredichos_1_p10,0,0.4797,0.0345,0.2143
Jinkis_Entredichos_1_p1,Jinkis_Entredichos_1_p11,0,0.3928,0.0,0.3
Jinkis_Entredichos_1_p1,Jinkis_Entredichos_1_p12,0,0.4179,0.0,0.25
Jinkis_Entredichos_1_p1,Jinkis_Entredichos_1_p13,0,0.4151,0.04,0.0769
Jinkis_Entredichos_1_p1,Jinkis_Entredichos_1_p14,0,0.4022,0.0,0.125
Jinkis_Entredichos_1_p1,Jinkis_Entredichos_1_p15,0,0.4175,0.0455,0.1818
Jinkis_Entredichos_1_p1,Jinkis_Entredichos_1_p16,0,0.534,0.0244,0.4545
Jinkis_Entredichos_1_p1,Jinkis_Entredichos_1_p17,0,0.4171,0.0323,0.2308
Jinkis_Entredichos_1_p1,Jinkis_Entredichos_1_p18,0,0.4516,0.0,0.0667
Jinkis_Entredichos_1_p1,Grüner_Entredichos_1_p1,0,0.3549,0.0,0.1
Jinkis_Entredichos_1_p1,Grüner_Entredichos_1_p2,0,0.3943,0.0,0.2222
